꿀,[1]
골뱅이,['400g']
미나리,['1줌']
사과,"['1/4개', '개']"
진미채,['1컵']
개복숭아,['1/4cup']
순대,['1줄']
떡갈비,[1]
샐러드야채,[1]
탕수육소스,['1 봉']
전분,"['100 g', '컵']"
목이버섯,['2 장']
바베큐소스,['4큰술']
스테이크소스,"['4큰술', '큰술']"
크래미,"['7개', '개']"
크림치즈,['3']
라이스페이퍼,['7']
허브맛솔트,['약간']
부침가루,"[1, '스픈', '박스']"
주꾸미,['7마리']
밀가루,"['1+1/2큰술', '큰술', '컵', 'T']"
물엿,"['2큰술', 'T', 'Ts']"
낙지,['3마리']
코다리,['1kg']
양송이버섯,"[1, '주먹', '컵']"
올리브,"[1, '큰술']"
라자냐,"['4 장', '장']"
아스파라거스,"['4 대', '개']"
리코타치즈,['100 g']
빵가루,['30 g']
바질,"['5 g', '약간', '줌', 'g']"
완두콩,['30g']
새싹,"['약간', 'g', '줌']"
또띠아,"['1장', '개']"
옥수수콘,"['1컵', '캔']"
마요네즈,"[1, 'T', '약간', '넉넉히', '큰술']"
접시,['1개']
원하는 재료,[1]
콩,['적당량']
아보카도,['1/2개']
해바라기씨,['조금']
아몬드,['조금']
단호박,"['1/2개', '/개']"
콘치즈,['1/2캔']
칵테일새우,['1줌']
소시지,"['12조각', '개']"
체다치즈,"[1, '장', '큰술']"
바나나,[1]
옥수수,['3Ts']
케첩,"['약간', '큰술', 'Ts']"
햄버거번,['2개']
양상추,['3장']
슬라이스치즈,['2장']
돈까스소스,['1/2봉']
스위트칠리소스,['2큰술']
피클,['4개']
스트링치즈,['1개']
파슬리,"['조금', '약간']"
연어,['220g']
비트,"['1개', 'T']"
오렌지주스,['4T']
포도씨유,"['1T', '/종이컵']"
바게트빵,"['2~4조각', '~개', '']"
로즈마리,['1줄']
엑스트라버진호두오일,['60g']
3분 미트볼,[1]
스프,['8g']
새송이버섯,['25g']
마카로니,['1봉지']
크래커,[1]
레몬,['1/2개']
허브소금,['약간']
핫소스,['1/2큰술']
